bladnr,xmin,ymin,xmax,ymax
101,117650,487000,118600,487750
102,118600,487000,119550,487750
103,119550,487000,120500,487750
104,120500,487000,121450,487750
105,121450,487000,122400,487750
106,122400,487000,123350,487750
107,123350,487000,124300,487750
108,124300,487000,125250,487750
109,117650,486250,118600,487000
110,118600,486250,119550,487000
111,119550,486250,120500,487000
112,120500,486250,121450,487000
113,121450,486250,122400,487000
114,122400,486250,123350,487000
115,123350,486250,124300,487000
116,124300,486250,125250,487000
117,117650,485500,118600,486250
118,118600,485500,119550,486250
119,119550,485500,120500,486250
120,120500,485500,121450,486250
121,121450,485500,122400,486250
122,122400,485500,123350,486250
123,123350,485500,124300,486250
124,124300,485500,125250,486250
125,117650,484750,118600,485500
126,118600,484750,119550,485500
127,119550,484750,120500,485500
128,120500,484750,121450,485500
129,121450,484750,122400,485500
130,122400,484750,123350,485500
131,123350,484750,124300,485500
132,124300,484750,125250,485500
133,117650,484000,118600,484750
134,118600,484000,119550,484750
135,119550,484000,120500,484750
136,120500,484000,121450,484750
137,121450,484000,122400,484750
138,122400,484000,123350,484750
139,123350,484000,124300,484750
140,124300,484000,125250,484750
141,117650,483250,118600,484000
142,118600,483250,119550,484000
143,119550,483250,120500,484000
144,120500,483250,121450,484000
145,121450,483250,122400,484000
146,122400,483250,123350,484000
147,123350,483250,124300,484000
148,124300,483250,125250,484000
149,117650,482500,118600,483250
150,118600,482500,119550,483250
151,119550,482500,120500,483250
152,120500,482500,121450,483250
153,121450,482500,122400,483250
154,122400,482500,123350,483250
155,123350,482500,124300,483250
156,124300,482500,125250,483250
157,117650,481750,118600,482500
158,118600,481750,119550,482500
159,119550,481750,120500,482500
160,120500,481750,121450,482500
161,121450,481750,122400,482500
162,122400,481750,123350,482500
163,123350,481750,124300,482500
164,124300,481750,125250,482500
201,117650,493000,118600,493750
202,118600,493000,119550,493750
203,119550,493000,120500,493750
204,120500,493000,121450,493750
205,121450,493000,122400,493750
206,122400,493000,123350,493750
207,123350,493000,124300,493750
208,124300,493000,125250,493750
209,117650,492250,118600,493000
210,118600,492250,119550,493000
211,119550,492250,120500,493000
212,120500,492250,121450,493000
213,121450,492250,122400,493000
214,122400,492250,123350,493000
215,123350,492250,124300,493000
216,124300,492250,125250,493000
217,117650,491500,118600,492250
218,118600,491500,119550,492250
219,119550,491500,120500,492250
220,120500,491500,121450,492250
221,121450,491500,122400,492250
222,122400,491500,123350,492250
223,123350,491500,124300,492250
224,124300,491500,125250,492250
225,117650,490750,118600,491500
226,118600,490750,119550,491500
227,119550,490750,120500,491500
228,120500,490750,121450,491500
229,121450,490750,122400,491500
230,122400,490750,123350,491500
231,123350,490750,124300,491500
232,124300,490750,125250,491500
233,117650,490000,118600,490750
234,118600,490000,119550,490750
235,119550,490000,120500,490750
236,120500,490000,121450,490750
237,121450,490000,122400,490750
238,122400,490000,123350,490750
239,123350,490000,124300,490750
240,124300,490000,125250,490750
241,117650,489250,118600,490000
242,118600,489250,119550,490000
243,119550,489250,120500,490000
244,120500,489250,121450,490000
245,121450,489250,122400,490000
246,122400,489250,123350,490000
247,123350,489250,124300,490000
248,124300,489250,125250,490000
249,117650,488500,118600,489250
250,118600,488500,119550,489250
251,119550,488500,120500,489250
252,120500,488500,121450,489250
253,121450,488500,122400,489250
254,122400,488500,123350,489250
255,123350,488500,124300,489250
256,124300,488500,125250,489250
257,117650,487750,118600,488500
258,118600,487750,119550,488500
259,119550,487750,120500,488500
260,120500,487750,121450,488500
261,121450,487750,122400,488500
262,122400,487750,123350,488500
263,123350,487750,124300,488500
264,124300,487750,125250,488500
301,125250,493000,126200,493750
302,126200,493000,127150,493750
303,127150,493000,128100,493750
304,128100,493000,129050,493750
305,129050,493000,130000,493750
306,130000,493000,130950,493750
307,130950,493000,131900,493750
308,131900,493000,132850,493750
309,125250,492250,126200,493000
310,126200,492250,127150,493000
311,127150,492250,128100,493000
312,128100,492250,129050,493000
313,129050,492250,130000,493000
314,130000,492250,130950,493000
315,130950,492250,131900,493000
316,131900,492250,132850,493000
317,125250,491500,126200,492250
318,126200,491500,127150,492250
319,127150,491500,128100,492250
320,128100,491500,129050,492250
321,129050,491500,130000,492250
322,130000,491500,130950,492250
323,130950,491500,131900,492250
324,131900,491500,132850,492250
325,125250,490750,126200,491500
326,126200,490750,127150,491500
327,127150,490750,128100,491500
328,128100,490750,129050,491500
329,129050,490750,130000,491500
330,130000,490750,130950,491500
331,130950,490750,131900,491500
332,131900,490750,132850,491500
333,125250,490000,126200,490750
334,126200,490000,127150,490750
335,127150,490000,128100,490750
336,128100,490000,129050,490750
337,129050,490000,130000,490750
338,130000,490000,130950,490750
339,130950,490000,131900,490750
340,131900,490000,132850,490750
341,125250,489250,126200,490000
342,126200,489250,127150,490000
343,127150,489250,128100,490000
344,128100,489250,129050,490000
345,129050,489250,130000,490000
346,130000,489250,130950,490000
347,130950,489250,131900,490000
348,131900,489250,132850,490000
349,125250,488500,126200,489250
350,126200,488500,127150,489250
351,127150,488500,128100,489250
352,128100,488500,129050,489250
353,129050,488500,130000,489250
354,130000,488500,130950,489250
355,130950,488500,131900,489250
356,131900,488500,132850,489250
357,125250,487750,126200,488500
358,126200,487750,127150,488500
359,127150,487750,128100,488500
360,128100,487750,129050,488500
361,129050,487750,130000,488500
362,130000,487750,130950,488500
363,130950,487750,131900,488500
364,131900,487750,132850,488500
401,125250,487000,126200,487750
402,126200,487000,127150,487750
403,127150,487000,128100,487750
404,128100,487000,129050,487750
405,129050,487000,130000,487750
406,130000,487000,130950,487750
407,130950,487000,131900,487750
408,131900,487000,132850,487750
409,125250,486250,126200,487000
410,126200,486250,127150,487000
411,127150,486250,128100,487000
412,128100,486250,129050,487000
413,129050,486250,130000,487000
414,130000,486250,130950,487000
415,130950,486250,131900,487000
416,131900,486250,132850,487000
417,125250,485500,126200,486250
418,126200,485500,127150,486250
419,127150,485500,128100,486250
420,128100,485500,129050,486250
421,129050,485500,130000,486250
422,130000,485500,130950,486250
423,130950,485500,131900,486250
424,131900,485500,132850,486250
425,125250,484750,126200,485500
426,126200,484750,127150,485500
427,127150,484750,128100,485500
428,128100,484750,129050,485500
429,129050,484750,130000,485500
430,130000,484750,130950,485500
431,130950,484750,131900,485500
432,131900,484750,132850,485500
433,125250,484000,126200,484750
434,126200,484000,127150,484750
435,127150,484000,128100,484750
436,128100,484000,129050,484750
437,129050,484000,130000,484750
438,130000,484000,130950,484750
439,130950,484000,131900,484750
440,131900,484000,132850,484750
441,125250,483250,126200,484000
442,126200,483250,127150,484000
443,127150,483250,128100,484000
444,128100,483250,129050,484000
445,129050,483250,130000,484000
446,130000,483250,130950,484000
447,130950,483250,131900,484000
448,131900,483250,132850,484000
449,125250,482500,126200,483250
450,126200,482500,127150,483250
451,127150,482500,128100,483250
452,128100,482500,129050,483250
453,129050,482500,130000,483250
454,130000,482500,130950,483250
455,130950,482500,131900,483250
456,131900,482500,132850,483250
457,125250,481750,126200,482500
458,126200,481750,127150,482500
459,127150,481750,128100,482500
460,128100,481750,129050,482500
461,129050,481750,130000,482500
462,130000,481750,130950,482500
463,130950,481750,131900,482500
464,131900,481750,132850,482500
501,125250,481000,126200,481750
502,126200,481000,127150,481750
503,127150,481000,128100,481750
504,128100,481000,129050,481750
505,129050,481000,130000,481750
506,130000,481000,130950,481750
507,130950,481000,131900,481750
508,131900,481000,132850,481750
509,125250,480250,126200,481000
510,126200,480250,127150,481000
511,127150,480250,128100,481000
512,128100,480250,129050,481000
513,129050,480250,130000,481000
514,130000,480250,130950,481000
515,130950,480250,131900,481000
516,131900,480250,132850,481000
517,125250,479500,126200,480250
518,126200,479500,127150,480250
519,127150,479500,128100,480250
520,128100,479500,129050,480250
521,129050,479500,130000,480250
522,130000,479500,130950,480250
523,130950,479500,131900,480250
524,131900,479500,132850,480250
525,125250,478750,126200,479500
526,126200,478750,127150,479500
527,127150,478750,128100,479500
528,128100,478750,129050,479500
529,129050,478750,130000,479500
530,130000,478750,130950,479500
531,130950,478750,131900,479500
532,131900,478750,132850,479500
533,125250,478000,126200,478750
534,126200,478000,127150,478750
535,127150,478000,128100,478750
536,128100,478000,129050,478750
537,129050,478000,130000,478750
538,130000,478000,130950,478750
539,130950,478000,131900,478750
540,131900,478000,132850,478750
541,125250,477250,126200,478000
542,126200,477250,127150,478000
543,127150,477250,128100,478000
544,128100,477250,129050,478000
545,129050,477250,130000,478000
546,130000,477250,130950,478000
547,130950,477250,131900,478000
548,131900,477250,132850,478000
549,125250,476500,126200,477250
550,126200,476500,127150,477250
551,127150,476500,128100,477250
552,128100,476500,129050,477250
553,129050,476500,130000,477250
554,130000,476500,130950,477250
555,130950,476500,131900,477250
556,131900,476500,132850,477250
557,125250,475750,126200,476500
558,126200,475750,127150,476500
559,127150,475750,128100,476500
560,128100,475750,129050,476500
561,129050,475750,130000,476500
562,130000,475750,130950,476500
563,130950,475750,131900,476500
564,131900,475750,132850,476500
601,117650,481000,118600,481750
602,118600,481000,119550,481750
603,119550,481000,120500,481750
604,120500,481000,121450,481750
605,121450,481000,122400,481750
606,122400,481000,123350,481750
607,123350,481000,124300,481750
608,124300,481000,125250,481750
609,117650,480250,118600,481000
610,118600,480250,119550,481000
611,119550,480250,120500,481000
612,120500,480250,121450,481000
613,121450,480250,122400,481000
614,122400,480250,123350,481000
615,123350,480250,124300,481000
616,124300,480250,125250,481000
617,117650,479500,118600,480250
618,118600,479500,119550,480250
619,119550,479500,120500,480250
620,120500,479500,121450,480250
621,121450,479500,122400,480250
622,122400,479500,123350,480250
623,123350,479500,124300,480250
624,124300,479500,125250,480250
625,117650,478750,118600,479500
626,118600,478750,119550,479500
627,119550,478750,120500,479500
628,120500,478750,121450,479500
629,121450,478750,122400,479500
630,122400,478750,123350,479500
631,123350,478750,124300,479500
632,124300,478750,125250,479500
633,117650,478000,118600,478750
634,118600,478000,119550,478750
635,119550,478000,120500,478750
636,120500,478000,121450,478750
637,121450,478000,122400,478750
638,122400,478000,123350,478750
639,123350,478000,124300,478750
640,124300,478000,125250,478750
641,117650,477250,118600,478000
642,118600,477250,119550,478000
643,119550,477250,120500,478000
644,120500,477250,121450,478000
645,121450,477250,122400,478000
646,122400,477250,123350,478000
647,123350,477250,124300,478000
648,124300,477250,125250,478000
649,117650,476500,118600,477250
650,118600,476500,119550,477250
651,119550,476500,120500,477250
652,120500,476500,121450,477250
653,121450,476500,122400,477250
654,122400,476500,123350,477250
655,123350,476500,124300,477250
656,124300,476500,125250,477250
657,117650,475750,118600,476500
658,118600,475750,119550,476500
659,119550,475750,120500,476500
660,120500,475750,121450,476500
661,121450,475750,122400,476500
662,122400,475750,123350,476500
663,123350,475750,124300,476500
664,124300,475750,125250,476500
701,110050,481000,111000,481750
702,111000,481000,111950,481750
703,111950,481000,112900,481750
704,112900,481000,113850,481750
705,113850,481000,114800,481750
706,114800,481000,115750,481750
707,115750,481000,116700,481750
708,116700,481000,117650,481750
709,110050,480250,111000,481000
710,111000,480250,111950,481000
711,111950,480250,112900,481000
712,112900,480250,113850,481000
713,113850,480250,114800,481000
714,114800,480250,115750,481000
715,115750,480250,116700,481000
716,116700,480250,117650,481000
717,110050,479500,111000,480250
718,111000,479500,111950,480250
719,111950,479500,112900,480250
720,112900,479500,113850,480250
721,113850,479500,114800,480250
722,114800,479500,115750,480250
723,115750,479500,116700,480250
724,116700,479500,117650,480250
725,110050,478750,111000,479500
726,111000,478750,111950,479500
727,111950,478750,112900,479500
728,112900,478750,113850,479500
729,113850,478750,114800,479500
730,114800,478750,115750,479500
731,115750,478750,116700,479500
732,116700,478750,117650,479500
733,110050,478000,111000,478750
734,111000,478000,111950,478750
735,111950,478000,112900,478750
736,112900,478000,113850,478750
737,113850,478000,114800,478750
738,114800,478000,115750,478750
739,115750,478000,116700,478750
740,116700,478000,117650,478750
